moniker,operator_address,staked,delegator_shares,greed,ownership,power,jailed_times_100_000,jailed_times_all,isjailed,exist_passport,validator_rank,cost_optimization,cost_endorsement,decentralization,decentralization_endorsement,confidence,confidence_endorsement,superintelligence,superintelligence_endorsement,reliability,reliability_endorsement,public_activity_endorsement,total
TheChurch,bostromvaloper1uvkv59tsqqugezwq2gn2pytz8uzk2uy4h8wz6x,19352953273833,19366505750911.62,0.011,5.167170022324672e-05,674095.77568,0,7,False,True,3.0,8264.462809917357,4576433119034,3.0,24955205811,0.0038000729520067944,2437088637,5.828722249839084,611707506220,1.9986009107360516,257383636344,254481481481,5727398037527
Graph Mounted Crypto,bostromvaloper1h8s9dvfv7594hj3mx5lr3pv23ylueptq5rfklh,13627937525281,13627937525281.0,0.0149,0.0006856388949293584,55648.512975,0,0,False,True,4.0,4504.301608035674,2494249841913,4.0,33273607748,0.049264839744237454,31594862176,4.745461367894526,498022416371,3.0,386345720591,254481481481,3697967930280
techstur,bostromvaloper1l27xjxw7nzf7r2a7cxz0mh0mzv5p8jj5ylg5sf,9948166278,9948166278.0,0.016,0.0030993327954504865,0.0,0,0,False,True,81.0,3906.25,2163079716418,81.0,673790556900,0.20416808681538567,130938466406,0.0,0,3.0,386345720591,254481481481,3608635941796
cyberdBot,bostromvaloper135ca8hdpy9sk0ntwqzpzsvatyl48ptx52tn60p,21729791102219,21738485190561.773,0.02,0.025084961143797487,68936845.688176,0,4,False,True,2.0,2500.0,1384371018507,2.0,16636803874,0.8424997514806997,540317672204,7.838451414011797,822622757025,1.9992002800829944,257460824271,254481481481,3275890557362
PensionFund4ALL,bostromvaloper1nmr4flrrzrka3lanfwxklunsapr92fqqvewuaj,4793942142126,4795380612265.136,0.02,0.016253709967063684,188712.737208,0,3,False,True,16.0,2500.0,1384371018507,16.0,133094430992,0.6980873702211867,447702141407,5.275803515302621,553680287604,1.9994001500583538,257486563908,254481481481,3030815923899
sirius,bostromvaloper1gg9puxcuhld9gx5whfqmx2ja8jpncxyvmqx6er,4182749797533,4182749797533.0,0.019,0.00023907573926362983,3010.028988,0,0,False,True,24.0,2770.083102493075,1533929106379,24.0,199641646489,0.01746150118943446,11198528734,3.4787149366047023,365081049930,3.0,386345720591,254481481481,2750677533604
Nett,bostromvaloper1njsr8tngxtygsc73mrtn5738ztkzqy7cx7egpg,4250153918514,4255682985898.2305,0.05,0.0520216902957021,151227492.481446,0,13,False,True,22.0,399.99999999999994,221499362961,22.0,183004842615,0.9783575755304018,627446936174,8.179630754007988,858428539887,1.9974032484723283,257229399114,254481481481,2402090562232
subi,bostromvaloper1fvh29xlzzatu390p3lpe7uhdsl7dpffct9pjqr,4437221678730,4448329163295.434,0.04,0.019166267561448756,3711997.9745940003,0,25,False,True,20.0,625.0,346092754626,20.0,166368038740,0.7563987917566126,485098818963,6.569607847576935,689461302329,1.995012232028963,256921479457,254481481481,2198423875596
kirock,bostromvaloper1qkw8dtdansmvayk2jxfkpel9q4d20rvf05lk94,2797965575964,2801605477686.364,0.05,0.023570682128309553,594812.7276,0,13,False,True,36.0,399.99999999999994,221499362961,36.0,299462469733,0.8239085896193956,528394661802,5.774380982970517,606004547765,1.9974032480769528,257229399063,254481481481,2167071922805
DragonBall,bostromvaloper1dt9lwmuq8rkngm5gajxchqhpcnavgp7m4lt66x,3051869176506,3054617231200.668,0.05,0.1021183596617341,25901582.124800004,0,9,False,False,32.0,399.99999999999994,221499362961,32.0,266188861985,0.9994602253421079,640980631114,7.413326309307229,778007109464,1.9982015301052019,257332203344,0,2164008168868
