,source_validator,dist_validator,amount
0,bostromvaloper1uvkv59tsqqugezwq2gn2pytz8uzk2uy4h8wz6x,bostromvaloper1s6v5ragv9gg3sq7j3aeqtyy82uaxv3y0vd9g8y,2701126403754
1,bostromvaloper1uvkv59tsqqugezwq2gn2pytz8uzk2uy4h8wz6x,bostromvaloper1njsr8tngxtygsc73mrtn5738ztkzqy7cx7egpg,2112848571519
2,bostromvaloper1gdpk4xeyeqzdkdwc0c2zrd8ltrthnze30rn2ue,bostromvaloper1s98k352m8m938kl057a3pxz9cxwr7n4ztjfw36,1726263531448
3,bostromvaloper1uvkv59tsqqugezwq2gn2pytz8uzk2uy4h8wz6x,bostromvaloper152mfglllt6ntxwrasjesyuez3v9aypahd3z84g,1638293734218
4,bostromvaloper19yyulmnkzwyuq9tzfhy4vdvftp0dsdvcqm3dde,bostromvaloper1g65rmjkeuy5rywx04s4fvwfylmlz98vq4gzln5,1277512036473
5,bostromvaloper1r798qg4dk8ffwaexz996e0anaz4x7yvqcuyel4,bostromvaloper1r28nhrkwcvqs4qss2l7zqdvc2qfdl8arglv6nn,495353290837
6,bostromvaloper1vrylz3nnyv6wggq3q4mjt0wrwwdrnj6hd4etny,bostromvaloper135ca8hdpy9sk0ntwqzpzsvatyl48ptx52tn60p,442436127877
7,bostromvaloper1w4tk9lj8qtx2x4xf4emgrnq950hnlajs795qpl,bostromvaloper1daxxqs56f6j5qxxtjrjkexghsmnaj66tpghggy,433835755690
8,bostromvaloper1fvh29xlzzatu390p3lpe7uhdsl7dpffct9pjqr,bostromvaloper1g65rmjkeuy5rywx04s4fvwfylmlz98vq4gzln5,271423371289
9,bostromvaloper1r798qg4dk8ffwaexz996e0anaz4x7yvqcuyel4,bostromvaloper1qej26grgx7zwan0ll0s5xph6xfpsq8xl32w5xk,222408811777
10,bostromvaloper1vrylz3nnyv6wggq3q4mjt0wrwwdrnj6hd4etny,bostromvaloper1n76f7tuq0kxf2ufjevlguqfc4xn4vfykflmhnn,204439044101
11,bostromvaloper1fvh29xlzzatu390p3lpe7uhdsl7dpffct9pjqr,bostromvaloper1s98k352m8m938kl057a3pxz9cxwr7n4ztjfw36,202707905054
12,bostromvaloper1r798qg4dk8ffwaexz996e0anaz4x7yvqcuyel4,bostromvaloper1prka3rnlwvsu9ejpjxd3m0hadmgylz3ka7zfh3,201627757330
13,bostromvaloper1vrylz3nnyv6wggq3q4mjt0wrwwdrnj6hd4etny,bostromvaloper1369tzcr8a79h3ryd9kl0kneurwssmmsq7ur6gf,195381080470
14,bostromvaloper1w4tk9lj8qtx2x4xf4emgrnq950hnlajs795qpl,bostromvaloper17hngdzsccvetu23sarsl4f5gyz5lp3ruaqxzvf,167158611871
15,bostromvaloper1fvh29xlzzatu390p3lpe7uhdsl7dpffct9pjqr,bostromvaloper1lnkg57t7mvg5mcl7kdkevtgr9wlf6f9qnmq9q4,135604573783
16,bostromvaloper1ex7kmjkcf906ypvq4j2pqd94hrfneenc9dqql5,bostromvaloper1ngymhfhty76w8r6e8dlyvj68g5zfm09q2p7dmn,112981968179
