,operator_address,current_delegation,calculated_delegation,diff
11,bostromvaloper1jdmfxzpnqqlhjsju3mz7qsgvvdparw5aque52f,0.0,1501106774024,1501106774024.0
14,bostromvaloper1z0tlk26v5cazm9kfjrjvasnm05a9futc36sss7,0.0,1350348651015,1350348651015.0
51,bostromvaloper10qmxjnffkup7ghyrxnf994gvja8wsdf6cnkr2k,0.0,973106909851,973106909851.0
52,bostromvaloper1yelfarfq3tu3gmtwm0c9fythen0u2xcap75eaa,0.0,949074428644,949074428644.0
60,bostromvaloper1dzr5h7l9pjsqu9uwrjgrvelk08y7kzk0zrjwl0,0.0,803187298436,803187298436.0
50,bostromvaloper19hsqcy8w8m3jxjcjdjmas4tnfpkrnm80ptywhu,319351249056.0,978732955388,659381706332.0
38,bostromvaloper1ezpth4mp3eeqdt49kgqd5ctr69xev6v2s737vq,800828663800.0,1083546479754,282717815954.0
34,bostromvaloper1gh09lmm8flkuu3w38mr4axvunnu6qqlaexfan0,851399359480.0,1118211205659,266811846179.0
41,bostromvaloper1zy553za8nenzukmv65240323jhuvxzymdmc97x,816702826463.0,1060199991798,243497165335.0
4,bostromvaloper1en69twaxmv7xupy8lq7y539dpecx7yz8s43ceg,1548854334210.0,1757531526023,208677191813.0
77,bostromvaloper1r28nhrkwcvqs4qss2l7zqdvc2qfdl8arglv6nn,361183022784.0,562330721058,201147698274.0
5,bostromvaloper1g65rmjkeuy5rywx04s4fvwfylmlz98vq4gzln5,1558016266440.0,1753627032011,195610765571.0
6,bostromvaloper1ymprf45c44rp9k0g2r84w2tjhsq7kalvaayh3g,1557767421862.0,1750271202883,192503781021.0
7,bostromvaloper18naxcfp2s397a2ucav2m53f003uylk3q6lwnna,1543210389479.0,1720482169426,177271779947.0
8,bostromvaloper15zs0cjct43xs4z4sesxcrynar5mxm82fh73g0j,1524646369484.0,1701760311565,177113942081.0
33,bostromvaloper1f7nx65pmayfenpfwzwaamwas4ygmvalqj6dz5r,973583539471.0,1130107545848,156524006377.0
29,bostromvaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4y57nyp,1010960216843.0,1159088872738,148128655895.0
9,bostromvaloper1lnkg57t7mvg5mcl7kdkevtgr9wlf6f9qnmq9q4,1497798686456.0,1620698279768,122899593312.0
71,bostromvaloper1daxxqs56f6j5qxxtjrjkexghsmnaj66tpghggy,592681322981.0,707133403104,114452080123.0
36,bostromvaloper1ke6pp2kq2wx74tlh5fxqgp7af6jtsna3wvvr8e,981956582024.0,1095586938974,113630356950.0
19,bostromvaloper1ngymhfhty76w8r6e8dlyvj68g5zfm09q2p7dmn,1180860509836.0,1281380246333,100519736497.0
46,bostromvaloper1argjwgcplguenq4l92ggn06wadnfrz0eq6yysn,914818843930.0,1012113340186,97294496256.0
